# Constructed from biom file
#OTU ID	M10B.T2	M10NB.T0	M10NB.T2	M13B.T2	M13NB.T0	M13NB.T2	M20T0	M20T2B	M20T2NB	M21B.T2	M21NB.T0	M21NB.T2	M25T0	M25T2B	M25T2NB	M26B.T2	M26NB.T0	M26NB.T2	M28T0	M28T2B	M28T2NB	M55T0	M55T2B	M55T2NB	M5T0	M5T2B	M5T2NB	M66B.T2	M66NB.T0	M66NB.T2	M73T0	M73T2B	M73T2NB	M74B.T2	M74NB.T0	M74NB.T2
K00001	240.64627793102673	364.46876017738555	603.0173205731811	136.6293315689344	324.46035783446297	786.135600693997	0.0	0.0	0.923697994278857	279.61486936890395	1423.9657961499743	829.5505339687762	22.366848630290825	0.0	0.0	954.1834859710607	209.78558540684517	494.0828662600825	0.0	0.0	66.18903753739654	81.19504802695573	2.3883470135966802	0.0	20.20023941780824	66.71316424301043	270.5443945770651	1127.945139741962	274.41375388513256	428.35009316815496	1.0	6.926520182664747	12.765935106458082	526.4197692274306	2427.694431562334	228.21823640490436
K00002	0.0	0.0	7.517756859628057	0.0	5.674055587015704e-05	0.0	0.0	0.0	0.0	0.0	0.0	72.62510020611842	0.0	0.0	0.0	0.0	75.50693112789025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.4	3.301140918459928	4.5612471046720096	0.0	0.0	2.6584093395725397	0.0	0.0	0.0	63.1577605184182	122.26854987032544	0.0
K00003	406.14	309.05397823081853	927.76	680.3729415712314	1074.8963032879058	1364.6712970783465	0.0	0.0	9.838010048690121	212.23624173550215	1891.9505814030385	970.4271647868804	55.85	0.0	0.0	990.992541614077	464.2937184484931	947.5250847224953	0.0	0.0	15.58	77.30880039659144	7.61	89.11003844965201	20.57249130335122	54.448660055597664	163.9326155943895	888.0877292708475	654.3733498491657	822.9194383817046	18.989361788044032	22.07	6.49	1203.0062657309093	1563.5410796731528	868.1902684050659
K00004	98.66785921053282	111.6470946186158	7.228482822599454	0.07099887016509972	75.95953849471461	309.7724024039865	0.0	0.0	0.09799963921573557	34.868159286723795	350.9445339838535	0.0	20.328282629527784	0.0	0.0	156.62550173089053	44.99932773097811	9.444305053473673	0.0	0.0	15.58	24.694965672207992	0.0	0.0	11.350033156499823	0.5781128776356338	73.25943044342021	158.58270684156986	56.660681408571264	88.14483149755748	2.2329431279511556	0.0	0.0	0.0021310533236440824	191.42456245791558	27.35246402844734
K00005	356.5607568597349	17.53934916339179	120.56564369117763	0.0	88.05922115456774	19.99738424227182	0.0	0.0	0.14498170750727055	3.490506998862537	567.8152542712003	0.0	10.164141314763906	0.8231966419404798	0.0	21.135201882690556	0.11043413158394945	320.4841760327367	0.0	0.0	0.0	23.770103543131476	0.0	0.0	0.7528398334636823	1.3134848452820014	69.52058402413698	1.3532610295434233	40.5151161676478	491.6860064196944	0.0	0.0	6.49	137.13445355347415	226.38742125037749	21.898085351972984
K00007	150.08169521011502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1140219282221253	1.550140495151338	0.0	0.0	0.0	0.0	0.0	139.70166460553943	0.0	0.0	0.0	0.0	0.0	0.0	3.3795044752683503	0.006197751682967862	0.37097907795335244	0.0	0.0	246.3591953709356	0.0	0.0	0.0	4.379821725051643	0.0	0.0
K00008	130.354327392253	283.9357413602969	548.2903861310563	419.96268381348114	619.0414737612335	353.13067066538724	0.0	0.0	0.0	145.6535742720949	1491.0204419616741	863.4091296000456	65.25356953483474	0.0	0.0	527.8841781507967	137.6431544544093	429.74522878391	0.0	0.0	0.0	25.35806279014988	9.998796627521669	51.25352705576086	7.7637719560645895	31.58474631751844	109.98676290273835	503.81325033745713	81.62981844685096	802.7579087711188	18.844478271309985	28.997824122129202	7.949503946893423	1191.5969883183834	1153.9677495024869	600.9161366251981
K00009	195.66000000000003	0.0	10.8	0.0	70.30632667458877	51.04286215081711	0.0	0.0	0.1297739593541666	0.0	4.958152091382719	0.0	0.0	0.0	0.0	0.0	408.63110362913915	231.91352138839122	0.0	0.0	15.58	5.916654271955237	0.0	0.0	0.0	4.087303501474629	0.0	1.2113117224442884	0.0	388.7653864677142	2.780926434145584	0.0	0.0	145.48303940231222	0.0	59.69233869090657
K00010	215.23474119895326	539.7952524523146	468.0659950773313	863.7301925028904	478.4197034487954	482.321422838005	0.0	0.0	0.3310979717092805	99.73517485438433	2263.5171249143377	452.34708468424634	120.19839854240968	0.0	0.0	494.64865593824885	56.57181525482251	219.31674521631052	0.0	0.0	0.0	0.0020144465875509628	7.6099478914710605	0.0	40.98400506991246	29.110403174448436	83.71012050437857	318.51113494540084	279.14523055011335	1470.9277900235202	0.678626311218013	22.069848878418696	0.0	880.7848344159504	191.1983218942524	483.38932987814405
K00011	0.0	0.0	0.0	0.0	0.0	3.2809845326048666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.650114467217579	0.0	0.0	0.0	0.0	0.0	0.0	0.250759514291173	0.0	0.0	0.0	0.0	1.3788887285277463e-20	0.0	0.0	0.0	29.98559426855037	8.82464165916077e-05	0.0
K00012	569.1880780162014	371.0678982619479	1139.5421275778153	1595.1227742404956	923.1502903613382	1036.4434555394582	0.0	0.0	4.544152644450965	370.4587307245773	3006.392995793232	1164.6407769704615	7.483151369709178	3.91	0.0	1211.9402572311692	789.0054252986808	922.838415674495	0.0	0.0	0.0	96.22410757429861	7.610000000042008	78.57123239816707	41.8571619030793	63.34279712305593	97.36034312931288	921.9806045356237	853.9359229894234	1183.0274946446339	41.811514491767554	22.070000000121826	19.041870212916162	1128.7763881187032	1774.1758103813195	607.9071988561755
K00013	541.7023448672326	329.130256701876	933.4293075672509	732.339999998638	810.8451260579377	1010.0236034129792	0.0	0.0	9.852846402866271	350.6821733834677	1795.9472532525733	976.6082818024146	29.85	0.0	0.0	823.8499999999999	664.1853886713634	694.6329808177138	0.0	0.0	7.738075074793061	74.19913819637313	7.610000000000229	76.15558031775518	37.84465771603352	38.561394875806855	164.14129381819407	839.125528443777	663.2048044692876	1123.4193520482006	15.529500078832488	22.07000000000066	6.49	1295.741277726058	1723.2384226914003	681.8722856477693
K00014	702.4732148836708	560.9592721658748	2340.236343820231	1308.4640709039263	1093.1233269287723	1413.4734897038431	0.0	0.0	11.721378638746032	405.93811473278106	3492.3776415674583	1040.1179123109168	60.93207065738197	3.91	0.0	1297.575014321434	716.9007222913517	941.1241526714789	0.0	0.0	15.58	249.92626896292415	7.610000000083635	76.15558031775518	60.13697078856813	65.79075851518151	164.30349789608886	1350.6378877564914	883.5545335821025	1217.3396628128735	22.669552745363596	22.07000000024255	6.49	1725.3821057150626	1482.9165496543787	932.3909521295277
K00015	180.14544653146223	0.0	492.4562720163965	360.1291441428538	101.14198641641761	682.1523712317583	0.0	0.0	0.01968692403520573	61.48437546864684	352.3550489111391	391.80857967524105	0.0	0.0	0.0	697.6282729865345	74.01499574254413	148.37173461461668	0.0	0.0	0.0	5.792502274642226	0.0	0.0	11.30224451561951	25.238982048151875	0.0	209.19607985267066	344.9696277691995	102.8913480816069	1.67862631121801	0.0	0.0	453.56276642673384	287.1669023157517	71.88191976381036
K00016	312.4384221621339	455.18860198046644	1735.9104852835821	2644.1833794879476	1639.1015087403614	329.1182060877518	0.0	0.0	4.9384635283188025	330.91357939307323	1799.4607008794846	1239.7482902606562	53.62867021853504	0.0	0.0	184.1917014925952	524.7275625672319	1299.9687394016044	0.0	0.0	15.58	66.26013544413033	22.830794724848356	0.0	1.1561018148164581	14.822016541704025	320.6087419733319	1200.7159795215507	393.5005006539478	1421.821699590562	10.782286461681378	66.21230480649189	5.653215579782329	703.4152890790858	608.5569272927618	1328.8984397335967
K00018	258.3704174794825	71.61025739876281	42.49796885506344	0.0	374.2423122176318	25.40109685838763	0.0	0.0	0.0	196.66387828486327	2480.859358396083	93.65515785075524	5.082070657381938	0.0	0.0	196.9412768669961	233.3381365599834	205.95667859916213	0.0	0.0	0.0	2.1263714593414735	0.0	0.0	0.5139021767165657	4.143795447920299	9.378146584374432	0.0	281.63528329758117	341.5962537367845	0.0	0.0	0.0	1074.7266859204965	1247.7698386848863	83.5452192253031
K00019	247.93816771804563	259.42292375860444	918.3405003708563	361.25799486813946	342.35967962201204	1121.9765273831367	0.0	0.0	1.104241362739026	221.6959562712147	275.7174963130934	377.86571582964166	0.0	0.0	0.0	807.894001614057	241.46522362765728	327.4521341519704	0.0	0.0	11.71096246260347	33.995884417865895	0.0	0.0	34.276290591737926	61.41585198475805	9.456297023803973	187.57983279252926	383.6382270055045	285.84008973350524	1.32137368878199	0.0	0.0	645.0033527408414	501.9107796860109	129.27581811298262
K00020	728.2764607641053	183.20722668507523	1535.8644381642719	413.8608382764299	340.2577546201867	1617.7750467824799	0.0	0.0	4.093908567964088	348.7065632420102	878.3734888994393	814.0223171896426	13.016056326657521	0.0	0.0	2217.840353103583	328.8245058322253	966.3123766963424	0.0	0.0	0.0	175.18651402112613	0.0	0.0	64.42919721509818	97.17957019015746	21.415269529490306	1011.5865916089722	979.003920640054	620.010176252056	5.0	0.0	3.1379675532290405	1075.8497797616571	1796.883813261089	179.71117980567124
K00021	7.846505622418591	0.0	10.597229327127092	33.20082516573078	0.0	29.21	0.0	0.0	0.9977577958548292	0.0	0.9813454059362181	26.351139957266227	0.0	0.0	0.0	0.0	0.7600028831969575	39.25171518458236	0.0	0.0	0.0	0.0	0.0	29.620547066311648	4.0625026288117745	0.0	2.636073986419239	9.313083459068599	0.0026801074898100386	7.262152242141447	0.0	0.0	0.0	101.02784905517622	18.9212640210691	6.937566425760462
K00023	151.62302849289887	99.95057629090722	803.8865433621078	360.71000000540954	80.23082516812939	850.4690142937443	0.0	0.0	0.0	102.07763325819349	137.17141239003251	314.6751143010722	0.0	0.0	0.0	762.2376369621443	125.45305687963574	258.21336165293036	0.0	0.0	0.0	35.5695146659867	0.0	0.0	25.100178045263295	52.28219847933744	4.843922007468227	145.61551470776487	259.9931936232171	133.54267256246573	1.0	0.0	0.0	457.8783225016929	1037.8968018495095	22.061584857645133
K00024	413.7124423968322	308.8800000015417	884.5568527270198	767.5746087474386	829.9819007440676	1068.8518168168557	0.0	0.0	9.805661098373706	355.8274125113074	2502.0978911182083	1020.6228056197297	0.0	3.91	0.0	833.9338184811445	738.8200829071283	457.4765678853375	0.0	0.0	15.58	1.001678705489626	7.610000000083787	62.04157562646815	36.96435654914947	110.28580315776179	163.9300000018427	646.6590418150752	450.9041180681488	1178.650959893713	8.954704423948716	22.07000000024299	3.1379675532290405	1204.6147262328716	1659.4515005597973	636.3837763257766
K00027	281.0944467670964	348.9673120589183	612.1754182902795	1481.9066897457396	1340.4339458235663	278.90096288086113	0.0	0.0	8.764569129401352	370.44421930604864	2144.3862678875116	901.0001377593329	29.85	0.0	0.0	125.72034298870891	317.38926027473667	778.4891584929418	0.0	0.0	24.02322303171138	74.04513834406156	15.220397362466224	0.0	0.022385055252260325	6.568179314613109	237.98536050723638	840.8790380018404	446.9542329149126	1622.6021473311398	50.13	44.14115240336788	6.49	768.8427396841857	931.0358841178959	1355.659391264712
K00028	0.0	0.0	0.0	0.0	4.277568490478611e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7879647709074391	0.0	0.0	0.0	3.2516295344145276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0280995508522723	0.0	0.0
K00029	343.637965705286	268.80028687238996	1256.9484146514058	498.414363799275	290.18336225855285	1161.239296407473	0.0	0.0	0.0	186.71798516555106	2176.184118041446	654.4747485949409	0.0	3.91	0.0	1358.0638184810718	650.1279958008336	393.27011637652373	0.0	0.0	0.0	0.0	0.0	44.00793248326994	50.946423390350844	80.9040534579358	13.36639198336565	0.0	658.5583291613092	121.91675182372285	13.61793063966332	0.0	0.0	913.8171000597846	725.3307105910657	51.21668127311188
K00030	17.163869551487608	17.3699999796729	0.0	842.63	297.3507759205532	214.36571945300255	0.0	0.0	0.0	321.937913368931	649.7948283401372	10.338972884459832	29.85	0.0	0.0	65.59618151892796	167.35347156018247	46.28774623867969	0.0	0.0	0.0	0.0	0.0	67.88687134859005	0.0674877398704346	1.5575902415951832	5.520539161194477	241.4510610059008	5.723097578097772	8.19967758862846	0.0	0.0	6.49	481.876529563701	203.63741372196478	71.37735211193326
K00031	484.77537618229746	395.3273093997675	954.5157595496067	732.3566897457365	971.8845204124848	1157.1431792748695	0.0	0.0	9.840856541343111	362.95896686695045	741.7994109612009	1154.2331938414313	0.0	3.91	0.0	841.5930605505345	1140.4875827764502	805.9139582057173	0.0	0.0	15.58	77.00901667632164	7.6103973624661485	0.0	53.1146343553404	102.91567504280047	165.62289437315525	651.4313149216566	519.4520902872679	1140.113715287334	19.53137368878199	22.07115240336766	3.1379675532290405	1487.7971199932772	2136.977966488741	682.4493499878297
K00032	0.0	0.0	0.0	0.0	1.817116181336655e-08	0.0	0.0	0.0	0.0	3.1449976873480203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.791799755072201	0.0	0.0	0.0	0.0	0.0	19.616809345408715	24.83	0.04649670728735604	0.0	0.0	0.0	0.0	0.0	0.0
K00033	640.8203232228024	257.3539782315957	469.30541843530204	352.60529667627753	867.0422159727494	706.2347289272188	0.0	0.0	4.348672160621344	360.1224629553117	878.6566119939107	654.9002178813377	22.366848630290825	0.0	0.0	739.7422844915792	650.9224305259183	925.8743583081806	0.0	0.0	15.58	103.82013145576676	7.610000000042236	0.0	14.403865777089926	13.630968982596244	153.1800000004646	898.9012947856053	280.94805039715857	1148.8534251774543	15.577724846984479	22.07000000012249	7.326784420217704	1151.6526059370412	1103.616203127961	623.4670013578001
K00034	157.23871558958498	133.23187902391197	450.1484697626978	1.0213488950890507e-07	3.413923268917087	198.86789539837497	0.0	0.0	0.0	137.38481091504295	652.6050797702967	313.64065294256034	12.565222027091117	0.0	0.0	312.00000009482653	0.0	66.80641269387449	0.0	0.0	14.931925605257934	8.247530289288509	0.0	0.0	13.688692003286016	3.9942583575708643	69.47	511.6542391931985	223.94239901942046	350.78748083589016	2.5543168167331425	0.0	3.9747519734467116	762.3670397257075	503.76159973552876	117.58
K00035	113.5231644466291	99.95	459.13706913633166	50.05515761835162	0.0	239.28987015806788	0.0	0.0	0.0	0.0	53.85538773392502	116.24	0.0	0.0	0.0	929.7319320600534	0.0	1.6026793808172333	0.0	0.0	0.0	0.0	0.0	0.0	9.09064935080599	0.0	0.0	0.0	10.514654763282337	0.0	0.0	0.0	0.0	248.14097411022874	12.76525132374717	0.0
K00036	614.829604069679	257.36129001348644	856.9635625851295	680.3567447094096	894.7886215041436	1048.2320817944694	0.0	0.0	4.862485107180167	379.14772091545	968.9170132151814	854.0190298967677	22.366848630290825	0.0	0.0	951.7325994919411	748.5513823930727	1078.7301257170516	0.0	0.0	15.58	95.71062140287835	7.61039736246592	0.0	29.95669116931561	13.503695885666069	161.12400759610227	985.8736833885446	212.92822280423314	1113.3843413964967	15.577724846984479	22.071152403366998	10.46475197344668	1417.3224443179472	1413.7656701567305	594.2993133466193
K00038	59.9861520119928	17.423740343620192	1.9759987166863855	0.6361683903341393	6.019096178312582	123.03725356625549	0.0	0.0	0.3264104893909297	52.02381409330306	4.2509922155451125	5.413932818053504	0.0	0.0	0.0	0.0229038050663424	0.24960462438801612	76.93377031515884	0.0	0.0	0.0	86.85945882738075	0.0	0.0	0.13004336760363353	0.0638883864273947	0.0018327862746196169	327.5433786182095	3.314202402759626	88.36979892168998	0.0	0.0	0.0	4.460464807062169	120.02594890894319	18.903842528914353
K00039	41.22686575414672	99.95	32.75816720878842	0.0	0.0	96.0	0.0	0.0	0.0	0.0	56.30923337188581	0.00027588857066605435	0.0	0.0	0.0	282.81654407743133	0.0	139.73604316079107	0.0	0.0	0.0	0.0	0.0	0.0	3.070824342158665	0.0	0.0	0.0	23.639086377345844	20.99954974015077	0.0	0.0	0.0	4.46830681352139	0.0	0.0
K00040	360.18324671917543	239.98397823236448	606.8185984343269	1164.2451954694739	533.7274063203321	445.6940977786915	0.0	0.0	0.6071353484150994	170.7485349358456	770.5541748762762	421.8818612073527	34.93207065738197	0.0	0.0	762.5404177207648	127.59593310929114	152.2100000016804	0.0	0.0	0.0	3.456711640161966	7.610000000084015	0.0	11.786211161611305	0.6225794234187948	83.71000000092415	192.87700876334256	181.22182937806866	890.749408868222	5.505413415391038	22.070000000243656	0.0	852.6758755003547	115.33050264848565	448.55610740720806
K00041	123.40045239012436	99.95057389870205	233.58280405117236	0.0	10.281233011173686	67.49387058720674	0.0	0.0	0.0	0.3919570967556121	188.7390837256749	0.0	10.164141314763906	0.0	0.0	21.135201882690556	0.0	29.680457727629634	0.0	0.0	0.0	0.0	0.0	0.0	5.10485129438743	0.6225794234187948	0.0	0.0	0.6392405711882195	357.23659154655036	14.529500078832488	0.0	0.0	275.2160205327508	18.149772471864814	60.05823423822995
K00042	275.1202300854433	317.2242651800937	578.9893395669474	0.5043584058065067	162.58210867591552	522.248643225162	0.0	0.0	0.0	118.9216659211782	269.0276196546423	121.7995465053793	7.933985669275552	0.0	0.0	1057.8156429875069	70.8134715601821	372.7187718507626	0.0	0.0	0.0	8.889242403992903	0.0	0.0	26.507141632011642	35.670231843407336	3.481022422163003	22.248662408458138	198.6085291078152	600.9308311749477	3.5499863387538166	0.0	0.0	446.7907727682575	231.83213550654733	55.21153675271696
K00043	2.809250843623434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0171400142459084	2.804751254349367	0.0	0.0	0.0	8.405752862392558e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.678626311218013	0.0	0.0	0.0	0.0	0.0
K00045	96.10835898343325	110.46187743050103	320.40080462088287	32.97530961815314	0.0	143.0828531383446	0.0	0.0	0.3118676591806521	23.345308043435573	29.111486888389926	192.98274699110726	0.0	0.0	0.0	322.07	0.23755296239015047	16.69427094050456	0.0	0.0	0.0	35.5695146659867	0.0	0.0	7.341169100627605	7.029893807488776	0.0	148.52649124956716	60.9176490180507	63.93062781890766	2.9115694391691687	0.0	0.0	42.96847352357206	317.9414732060782	3.571720793337212
