# Constructed from biom file
#OTU ID	M10B.T2	M10NB.T0	M10NB.T2	M13B.T2	M13NB.T0	M13NB.T2	M20T0	M20T2B	M20T2NB	M21B.T2	M21NB.T0	M21NB.T2	M25T0	M25T2B	M25T2NB	M26B.T2	M26NB.T0	M26NB.T2	M28T0	M28T2B	M28T2NB	M55T0	M55T2B	M55T2NB	M5T0	M5T2B	M5T2NB	M66B.T2	M66NB.T0	M66NB.T2	M73T0	M73T2B	M73T2NB	M74B.T2	M74NB.T0	M74NB.T2
EC:1.1.1.1	1439.2440006058346	936.3519136871616	2259.394923936486	1128.6401984694182	1497.1195859118889	2727.0437898803266	0.0	0.0	2.796856447696365	902.8334752786461	2009.1074799039131	1998.9177680832508	22.366848630290825	0.0	0.0	2671.282779251143	1135.9415331697048	2165.2902539050565	0.0	0.0	68.16058919003017	656.1083300855153	9.99920860000043	0.0	56.56836514467845	84.59461165270719	576.253562008499	3656.8843410580016	916.0297266591188	2345.8648736448026	18.835356235256196	28.99901889645328	20.092719526675722	2335.94737814625	4347.6897247326615	996.3162552763077
EC:1.1.1.10	0.0	0.0	0.0	0.0	1.1931191238200096e-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0761188633105822e-05	0.0	0.0	0.0	0.0	203.63741372196478	0.0
EC:1.1.1.100	1964.9998430954922	863.9009119477341	5998.069547095096	3207.6018327263646	2616.005458585745	5571.820764279144	0.0	0.0	5.554855320778312	1435.1547613564808	7059.953016897672	3857.731668431427	93.18315136970912	10.083606716119041	0.0	5083.164217196993	1883.4991198546254	3945.991943636732	0.0	0.0	46.74	691.3802383841777	15.220397529488983	176.19009950083077	178.33085069605715	252.02222729180488	432.29280511934667	4976.332604944233	2470.0049896232367	4023.090022539846	124.26191588616663	44.14115288775582	9.627967553229041	4654.055088225691	7216.167298796165	1948.1032577366846
EC:1.1.1.101	0.0	0.0	0.0	0.0	3.17843813729997e-26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.102	0.0	0.003978230818062686	0.0	0.0	1.9745751829687648e-10	164.84428054699745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	226.1177434967665	0.0	0.18516624271957632	0.0	0.0	0.0	0.0	0.0	0.0	0.004567924577606257	0.0	0.0	0.0	0.006137812188805971	7.259359118752792	0.0	0.0	0.0	0.476589293782889	8.11327967669083	11.05520529699528
EC:1.1.1.103	180.53354297408924	191.50625965737444	427.9482245939081	646.3487945218199	697.3623871744677	271.4952630346601	0.0	0.0	0.0	292.9103341723294	576.2432260716529	663.8275497359722	10.164141314763906	0.0	0.0	435.1041359047491	571.2056758771153	291.5597208112456	0.0	0.0	0.0	0.0007025195700252764	7.610000000041779	0.0	0.6519494438640254	6.550978874886807	85.80116080909323	489.8528759960966	8.722233712737504	882.0744390074385	45.0	22.070000000121166	0.0	545.0397329258165	798.6058704087108	514.8223035315026
EC:1.1.1.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.536102154485866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.787173535188828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.6781184806695	0.0	0.03488140797109712	0.0	0.0	0.0	0.0	0.0	80.21232740410335
EC:1.1.1.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.30476665912485	0.0	7.483151369709178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9388948616312912	0.0	0.0	0.0	0.0	0.0003887204517793847	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.108	69.93302849289888	0.0	18.240221323713186	8.643440744342409e-05	3.020210697117489	169.88182656673555	0.0	0.0	0.0	0.0	71.43626423058319	69.26374657845037	0.0	0.0	0.0	322.07	0.0	0.0	0.0	0.0	9.118660658582284	0.0	0.0	0.0	2.383010948967562	26.997292720580198	70.93978520238436	0.0	44.04964905160165	36.37922303437969	1.0	0.0	0.0	0.0	0.0	2.30652579296907
EC:1.1.1.11	150.08169521011502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1140219282221253	1.550140495151338	0.0	0.0	0.0	0.0	0.0	139.70166460553943	0.0	0.0	0.0	0.0	0.0	0.0	3.3795044752683503	0.006197751682967862	0.37097907795335244	0.0	0.0	246.3591953709356	0.0	0.0	0.0	4.379821725051643	0.0	0.0
EC:1.1.1.116	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00018520101084625628	0.0
EC:1.1.1.122	47.60689525805154	104.01424708731251	1073.050963966634	1.9630279631639946	13.258148078953916	443.0918780775131	0.0	0.0	0.0	9.233687699698205	106.56982227112131	148.08401624345672	0.0	0.0	0.0	791.3535571293264	0.0	49.11066691524249	0.0	0.0	0.0	0.0	0.0	0.0	7.615922097371576	2.1378718856069576	8.487575047834035e-09	34.00322352198592	233.06306612540257	96.30033383157642	1.35725262243603	0.0	0.0	326.78950860857157	291.3437281317192	0.0
EC:1.1.1.125	257.2937854564488	109.11062211720427	782.5796736518954	51.21642361790444	167.55321589922022	812.5131518287694	0.0	0.0	0.11955914677209305	181.5745579315864	236.38995861712613	77.459886012418	10.164141314763906	0.0	0.0	606.343204019104	70.90577996125661	62.012064895109404	0.0	0.0	0.0	27.041661022294647	0.0	0.0	14.541128970997288	2.7740070246784914	0.0	294.4214993099162	281.42421086442533	424.64872121757475	18.844478271309985	0.0	0.0	685.3609092190611	96.65087713650668	122.382159917082
EC:1.1.1.130	100.0	0.0	0.0	332.45646749123335	5.131159897459498e-07	9.139359082260832	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.366520973195112	0.0	0.0	0.0	0.12500796566717606	3.349073565854416	0.0	0.0	0.0	6.095844720769137	0.0
EC:1.1.1.132	11.466312227612848	0.0	2.993318209104916	0.29838726293957507	6.838865456295207e-05	116.91659854856475	0.0	0.0	0.0	25.48941649566761	0.7095871224109039	28.17055215328676	0.0	0.0	0.0	205.0542269582087	0.0	21.36657343736779	0.0	0.0	0.0	38.836333715674854	0.0	0.0	3.697511672577752	0.0827005543645696	0.9592920577394791	158.98931364329994	7.359341854573128	6.711584008092147	1.35725262243603	0.0	0.0	62.27645155832978	106.32727815642221	0.0
